ring_ID,Week_Day,Month_Date,Month,Year,Time,Doorbot_Description,Kind,Detection_Type
6980506944883396000,Fri,02,Jul,2021,18:32:05,Front Door,motion,human
6980507219761303000,Fri,02,Jul,2021,18:33:11,Front Door,motion,human
6980507481754308000,Fri,02,Jul,2021,18:34:12,Front Door,motion,human
6980507924135939000,Fri,02,Jul,2021,18:35:54,Front Door,motion,human
6980508366517571000,Fri,02,Jul,2021,18:37:38,Front Door,motion,human
6980508641395478000,Fri,02,Jul,2021,18:38:42,Front Door,motion,human
6980508911978417000,Fri,02,Jul,2021,18:39:45,Front Door,motion,human
6980509311410376000,Fri,02,Jul,2021,18:41:19,Front Door,motion,human
6980509586288283000,Fri,02,Jul,2021,18:42:22,Front Door,motion,human
6980510170403835000,Fri,02,Jul,2021,18:44:38,Front Door,motion,human
6980519091050909000,Fri,02,Jul,2021,19:19:15,Front Door,motion,human
6980521719570894000,Fri,02,Jul,2021,19:29:28,Front Door,motion,human
6980524683098328000,Fri,02,Jul,2021,19:40:57,Front Door,motion,human
6980525155544731000,Fri,02,Jul,2021,19:42:48,Front Door,motion,human
6980526272236228000,Fri,02,Jul,2021,19:47:07,Front Door,motion,other_motion
6980529699620130000,Fri,02,Jul,2021,20:00:25,Front Door,motion,human
6980530584383393000,Fri,02,Jul,2021,20:03:51,Front Door,motion,other_motion
6980530863556267000,Fri,02,Jul,2021,20:05:29,Front Door,motion,human
6980538972454522000,Fri,02,Jul,2021,20:36:25,Front Door,motion,human
6980543237357047000,Fri,02,Jul,2021,20:52:56,Front Door,motion,human
6980547412065258000,Fri,02,Jul,2021,21:09:08,Front Door,motion,human
6980547880216694000,Fri,02,Jul,2021,21:10:57,Front Door,motion,human
6980550723485044000,Fri,02,Jul,2021,21:21:58,Front Door,motion,human
6980555362049723000,Fri,02,Jul,2021,21:39:59,Front Door,motion,other_motion
6980559755801267000,Fri,02,Jul,2021,21:57:03,Front Door,motion,human
6980560086513749000,Fri,02,Jul,2021,21:58:20,Front Door,motion,other_motion
6980560464470871000,Fri,02,Jul,2021,21:59:46,Front Door,motion,other_motion
6980569273448795000,Fri,02,Jul,2021,22:33:58,Front Door,motion,other_motion
6980569548326702000,Fri,02,Jul,2021,22:35:04,Front Door,motion,human
6980570029363039000,Fri,02,Jul,2021,22:36:56,Front Door,motion,human
6980570377255390000,Fri,02,Jul,2021,22:38:16,Front Door,motion,human
6980570841111858000,Fri,02,Jul,2021,22:40:05,Front Door,motion,human
6980576531943525000,Fri,02,Jul,2021,23:02:09,Front Door,motion,other_motion
6980577451066527000,Fri,02,Jul,2021,23:05:43,Front Door,motion,other_motion
6980577738829336000,Fri,02,Jul,2021,23:06:48,Front Door,motion,other_motion
6980578013707242000,Fri,02,Jul,2021,23:07:54,Front Door,motion,human
6980578314354953000,Fri,02,Jul,2021,23:09:04,Front Door,motion,human
6980584181280280000,Fri,02,Jul,2021,23:31:50,Front Door,motion,human
6980584997324066000,Fri,02,Jul,2021,23:34:59,Front Door,motion,human
6980590116925083000,Fri,02,Jul,2021,23:54:51,Front Door,motion,human
6980591800552263000,Sat,03,Jul,2021,00:01:23,Front Door,motion,human
6980605905224863000,Sat,03,Jul,2021,00:56:08,Front Door,motion,human
6980607683341323000,Sat,03,Jul,2021,01:03:01,Front Door,motion,human
6980607966809165000,Sat,03,Jul,2021,01:04:06,Front Door,motion,human
6980608254571974000,Sat,03,Jul,2021,01:05:14,Front Door,motion,human
6980608658298899000,Sat,03,Jul,2021,01:06:49,Front Door,motion,human
